id	signatuur	aut_id	auteur
TDRA000000009699	OXFORD, BL : Douce 110	LEXI000000003492	Augustinus
TDRA000000000483	UTRECHT, MCC : BMH 63	LEXI000000003325	Geert Grote
TDRA000000004626	KOPENHAGEN, KB : GKS 3422 Oct.	LEXI000000003772	Henricus Suso
TDRA000000002243	AMSTERDAM, UB : I G 34	LEXI000000003803	Godfried van Wevel
TDRA000000002243	AMSTERDAM, UB : I G 34	LEXI000000003360	Hendrik Mande
TDRA000000002243	AMSTERDAM, UB : I G 34	LEXI000000003704	Jan van Ruusbroec
TDRA000000002243	AMSTERDAM, UB : I G 34	LEXI000000004416	Marquard von Lindau
TDRA000000002243	AMSTERDAM, UB : I G 34	LEXI000000003316	bijbelvertaler van 1360
TDRA000000004632	KOPENHAGEN, KB : NKS 42 Oct.	LEXI000000003772	Henricus Suso
TDRA000000001819	BRUSSEL, KB : IV 707	LEXI000000003325	Geert Grote
TDRA000000004961	UTRECHT, MCC : ABM 25	LEXI000000003772	Henricus Suso
TDRA000000006145	SPANJAARD (Amsterdam) : z.s.	LEXI000000003325	Geert Grote
TDRA000000007515	LONDEN, GL : 1448	LEXI000000003772	Henricus Suso
TDRA000000008418	KAAPSTAD, NLSA : Omitted a 5	LEXI000000003325	Geert Grote
TDRA000000007716	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 190	LEXI000000003325	Geert Grote
TDRA000000007716	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 190	LEXI000000003772	Henricus Suso
TDRA000000001367	LEIDEN, UB : LTK 340	LEXI000000004062	Hendrik Herp
TDRA000000002108	GRONINGEN, UB : 220	LEXI000000003325	Geert Grote
TDRA000000000509	UTRECHT, MCC : BMH 110	LEXI000000003772	Henricus Suso
TDRA000000003028	BERLIJN, SBB-PK : Germ. Oct. 270	LEXI000000003325	Geert Grote
TDRA000000003982	BRUSSEL, KB : 21893	LEXI000000003325	Geert Grote
TDRA000000003982	BRUSSEL, KB : 21893	LEXI000000003772	Henricus Suso
TDRA000000006805	NIJMEGEN, UB : 322	LEXI000000003803	Godfried van Wevel
TDRA000000000290	GENT, UB : 2363	LEXI000000003325	Geert Grote
TDRA000000001777	BRUSSEL, KB : IV 432	LEXI000000003805	Meester Eckhart
TDRA000000013373	BRUGGE, BG : z.s.	LEXI000000008528	Rombout de Doppere
TDRA000000007460	Olim LE ROY DU VIVIER (Munsterbilsen) : z.s.	LEXI000000003772	Henricus Suso
TDRA000000000455	UTRECHT, MCC : BMH 43	LEXI000000003325	Geert Grote
TDRA000000004431	LONDEN, BL : Add. 39638	LEXI000000003772	Henricus Suso
TDRA000000005908	LEEDS, UL : Brotherton 24	LEXI000000003325	Geert Grote
TDRA000000005908	LEEDS, UL : Brotherton 24	LEXI000000003326	Johannes Scutken
TDRA000000004380	LONDEN, BL : Add. 17524	LEXI000000003325	Geert Grote
TDRA000000005088	KEULEN, HA : GB Oct. 55	LEXI000000003358	Gerlach Peters
TDRA000000005088	KEULEN, HA : GB Oct. 55	LEXI000000003803	Godfried van Wevel
TDRA000000005088	KEULEN, HA : GB Oct. 55	LEXI000000003704	Jan van Ruusbroec
TDRA000000003360	'S-GRAVENHAGE, KB : 133 E 29	LEXI000000003325	Geert Grote
TDRA000000001205	UTRECHT, UB : Cat. 1691	LEXI000000003360	Hendrik Mande
TDRA000000001205	UTRECHT, UB : Cat. 1691	LEXI000000003772	Henricus Suso
TDRA000000001205	UTRECHT, UB : Cat. 1691	LEXI000000003704	Jan van Ruusbroec
TDRA000000002283	AMSTERDAM, UB : I G 15	LEXI000000003325	Geert Grote
TDRA000000001991	LEIDEN, UB : BPL 2627	LEXI000000006760	Jan van Hulst
TDRA000000002240	AMSTERDAM, UB : I G 32	LEXI000000003704	Jan van Ruusbroec
TDRA000000004143	BRUSSEL, KB : IV 113	LEXI000000003325	Geert Grote
TDRA000000002268	AMSTERDAM, UB : I G 25	LEXI000000004327	Jan Brugman
TDRA000000002268	AMSTERDAM, UB : I G 25	LEXI000000003805	Meester Eckhart
TDRA000000002268	AMSTERDAM, UB : I G 25	LEXI000000004209	Rulman Merswin
TDRA000000008802	BRUGGE, SB : 673	LEXI000000003325	Geert Grote
TDRA000000008802	BRUGGE, SB : 673	LEXI000000003786	Ludolf van Saksen
TDRA000000004962	UTRECHT, MCC : ABM 26	LEXI000000003325	Geert Grote
TDRA000000002320	ZWOLLE, HCO : Emmanuelshuizen 13	LEXI000000003803	Godfried van Wevel
TDRA000000002320	ZWOLLE, HCO : Emmanuelshuizen 13	LEXI000000003360	Hendrik Mande
TDRA000000002320	ZWOLLE, HCO : Emmanuelshuizen 13	LEXI000000003772	Henricus Suso
TDRA000000002320	ZWOLLE, HCO : Emmanuelshuizen 13	LEXI000000004232	Johannes Tauler
TDRA000000002320	ZWOLLE, HCO : Emmanuelshuizen 13	LEXI000000004416	Marquard von Lindau
TDRA000000002320	ZWOLLE, HCO : Emmanuelshuizen 13	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000002693	'S-GRAVENHAGE, KB : 71 H 57	LEXI000000003326	Johannes Scutken
TDRA000000006422	Olim VAN ZUYLEN (Brugge) : z.s.	LEXI000000003325	Geert Grote
TDRA000000006422	Olim VAN ZUYLEN (Brugge) : z.s.	LEXI000000003772	Henricus Suso
TDRA000000003229	'S-GRAVENHAGE, KB : 133 G 29	LEXI000000003325	Geert Grote
